slug,jp_verse,en_verse
bridge,霧の橋\n\n    静かに渡る\n\n    朝の道,"A bridge in mist\ncrossed without hurry\ninto the morning"
attractive,雅の袖\n\n    言葉より先に\n\n    風が舞う,"Elegant sleeves\nbefore words are spoken\nthe wind already speaks"
stand_up,空の下\n\n    ただ立つだけで\n\n    道となる,"Beneath the sky\nsimply standing still\nbecomes a path"
cry,雨の灯\n\n    声にならない\n\n    夜が落ちる,"Rain and lanterns\na voice that cannot form\nfalls into night"
chapter,紙重ね\n\n    静かな時を\n\n    綴じてゆく,"Layered papers\nbinding together\nquiet moments of time"
compete,旗揺れて\n\n    争わぬまま\n\n    風競う,"Banners trembling\nwithout open conflict\nthe winds compete"
sovereign,空高く\n\n    誰も触れえぬ\n\n    古き座,"High beneath heaven\nan ancient throne\nnone may reach"
renunciation,香の煙\n\n    執着だけが\n\n    遠ざかる,"Incense drifting\nonly attachment\nmoves farther away"
juvenile,泥の道\n\n    小さな歌を\n\n    口ずさむ,"Along muddy roads\na small child quietly\nhums to himself"
pupil,空映す\n\n    静かな瞳に\n\n    雲流る,"The sky reflected\ninside a quiet pupil\nclouds continue on"
bell,夕の鐘\n\n    山の霧へと\n\n    響き消ゆ,"An evening bell\nechoing outward\ninto mountain mist"
deal,灯の市\n\n    人と人とを\n\n    結びゆく,"Lantern market\nbinding person to person\nthrough exchange"
legitimate_wife,深き袖\n\n    家を静かに\n\n    受け継ぎぬ,"Within layered robes\nthe house is quietly\ncarried onward"
suitable,石の庭\n\n    乱れぬ道に\n\n    風も合う,"Stone garden paths\neven the passing wind\nmoves in harmony"
drip,雨しずく\n\n    古き屋根より\n\n    時落ちる,"Raindrops falling\nfrom the ancient temple roof\ntime itself descends"
enemy,見えぬ影\n\n    遠き静けさ\n\n    刃は抜かず,"An unseen shadow\nwithin distant stillness\nno blade is drawn"
spoon,茶の湯気に\n\n    静かな木匙\n\n    夜ぬくむ,"In rising tea steam\na quiet wooden spoon\nwarms the evening"
scold,厳しさも\n\n    愛の形と\n\n    子は知らず,"Even stern words\nare sometimes the shape\nof love unseen"
scent,花ひらき\n\n    名もなき記憶\n\n    風に立つ,"Flowers opening\nnameless memories rise\nupon the wind"
about_that_time,日が傾き\n\n    語らぬものが\n\n    空に残る,"As daylight fades\nthe unspoken things remain\nwithin the sky"
