slug,jp_verse,en_verse
sea,冬の海は\n\n    言葉を忘れ\n\n    霧だけ残る,The winter sea\nforgets all language\nand leaves only mist
beg,雪の路地で\n\n    手を開く人に\n\n    風も静か,In the snowy alley\neven the wind softens\naround open hands
drought,冬の布が\n\n    光を薄く\n\n    空へ返す,Winter cloth\nreturns pale sunlight\nback into the sky
abdomen,息ひとつ\n\n    静かな腹に\n\n    冬が宿る,A single breath\nsettles in the abdomen\nwhere winter rests
duplicate,障子越し\n\n    似た影たちが\n\n    少し違う,Beyond the screens\nthe echoed figures\ndiffer slightly
lack,空の椅子に\n\n    朝の光だけ\n\n    座っている,In the empty chair\nonly morning light\nremains seated
blow,葦を越え\n\n    雪の風だけ\n\n    急いでゆく,Across the reeds\nonly the snow wind\nmoves quickly onward
cook,暗い台所\n\n    米の湯気だけ\n\n    白く生きる,In the dark kitchen\nonly the rice steam\nlives in white light
song,広い堂に\n\n    ひとりの歌が\n\n    冬へ消える,Inside the hall\na solitary song\nvanishes into winter
soft,折れぬよう\n\n    柔らかな布は\n\n    静かに沈む,So it will not break\nthe softened cloth\nsettles quietly
next,霧の駅\n\n    来ぬ列車まで\n\n    時が続く,At the foggy station\ntime continues onward\nuntil the train arrives
briar,凍る枝\n\n    触れぬ痛みを\n\n    空へ向ける,Frozen branches\nraise untouched pain\ntoward the sky
assets,古い紙に\n\n    眠る重さを\n\n    灯が守る,Within old papers\na quiet weight sleeps\nguarded by lamplight
figure,障子越し\n\n    姿だけ残り\n\n    名は消える,Beyond the shoji\nonly the figure remains\nthe name disappears
consult_with,小さな灯\n\n    低い声だけ\n\n    夜を動かす,A small candle\nand quiet voices alone\nmove the night
compensation,重い紙を\n\n    開く指先に\n\n    冬の責,At the opened document\nwinter responsibility\nrests in the fingers
cultivate,寒い土に\n\n    小さな緑を\n\n    手が守る,Within the cold soil\ncareful hands protect\na fragile green
divide,静かな刃\n\n    分けるためだけに\n\n    光を持つ,The quiet blade\nholds its light only\nto separate clearly
sound,鐘ひとつ\n\n    空の広間を\n\n    波のように,One temple bell\ncrosses the empty hall\nlike widening water
darkness,灯が消え\n\n    湖の闇だけ\n\n    深く残る,After the lamp fades\nonly the darkness of the lake\nremains deep and still
