slug,jp_verse,en_verse
proclaim,夜明けの丘で、\n\n    声は静かに空へ昇る。\n\n    真実は遠くまで届く。,"On a hill before dawn,\na voice rises quietly into the sky.\nTruth travels far away."
early_morning,灯がともるころ、\n\n    一日の疲れがほどけてゆく。\n\n    静けさが部屋を満たす。,"As lamps begin to glow,\nthe weariness of the day loosens gently.\nQuietness fills the room."
relax,小さな灯のそばで、\n\n    心はようやく眠りを許す。\n\n    夜はやさしく包みこむ。,"Beside a small lantern,\nthe heart finally allows itself to rest.\nNight wraps everything gently."
banquet,笑い声のあいだに、\n\n    人々は時を忘れて座る。\n\n    温かな光が続いてゆく。,"Between bursts of laughter,\npeople forget the passing of time.\nWarm light continues into the night."
draw_near,言葉より先に、\n\n    人は静かに近づいてくる。\n\n    ぬくもりは距離を越える。,"Before words are spoken,\nsomeone quietly draws near.\nWarmth crosses every distance."
wealth,積み重ねられたものより、\n\n    満ち足りた心が尊い。\n\n    静かな豊かさが残る。,"More valuable than piled treasures\nis a heart already content.\nA quiet richness remains."
savings,少しずつ蓄えたものが、\n\n    冬の日を支えてくれる。\n\n    慎みは力になる。,"What is saved little by little\nsupports the cold days of winter.\nRestraint becomes strength."
tree,風のなかでも、\n\n    一本の木は静かに立っている。\n\n    季節だけが通り過ぎる。,"Even in the wind,\na single tree stands quietly.\nOnly the seasons pass by."
woods,光のこぼれる道を、\n\n    二本の木が並んで守っている。\n\n    朝露が草に残る。,"Along a light-filled path,\ntwo trees stand guarding together.\nMorning dew remains on the grass."
forest,深い緑の奥では、\n\n    世界がゆっくり呼吸している。\n\n    言葉は必要ない。,"Deep within the green,\nthe world breathes slowly.\nNo words are necessary."
judas_tree,春の色は、\n\n    突然森の中に現れる。\n\n    静かな驚きが花になる。,"Spring color\nsuddenly appears within the forest.\nQuiet wonder becomes blossom."
oak,長い年月を越えて、\n\n    大きな枝は空を支える。\n\n    強さは沈黙の中にある。,"Across many long years,\ngreat branches uphold the sky.\nStrength lives within silence."
frame,通り道の形が、\n\n    見えない境界を作っている。\n\n    その向こうへ人は進む。,"The shape of the pathway\ncreates an unseen boundary.\nBeyond it, people continue onward."
treetops,見上げた空で、\n\n    葉は光と風に揺れている。\n\n    遠い青さが広がる。,"High above,\nthe leaves sway in light and wind.\nA distant blue spreads outward."
shelf,古い棚の上に、\n\n    小さな記憶が静かに並ぶ。\n\n    時は埃のように積もる。,"Upon an old shelf,\nsmall memories rest quietly in rows.\nTime gathers like dust."
apricot,熟れた実の香りが、\n\n    夏の光を思い出させる。\n\n    甘さは短く過ぎてゆく。,"The scent of ripe fruit\nrecalls the light of summer.\nSweetness passes quickly."
paulownia_tree,薄紫の花は、\n\n    風の中で静かに揺れている。\n\n    春は声なく訪れる。,"Pale violet blossoms\nsway quietly in the wind.\nSpring arrives without a sound."
plant,小さな芽であっても、\n\n    光へ向かう力を持っている。\n\n    成長は静かにはじまる。,"Even a small sprout\nholds the strength to seek the light.\nGrowth begins quietly."
chair,誰かが去ったあとも、\n\n    椅子だけがそこに残る。\n\n    静かな時間を見守っている。,"Even after someone leaves,\nthe chair remains behind.\nIt watches over silent time."
wither,色を失った葉にも、\n\n    過ぎ去った季節の記憶がある。\n\n    終わりは静かな姿をしている。,"Even faded leaves\ncarry memories of passing seasons.\nEndings wear a quiet form."
