slug,jp_verse,en_verse
nitrate,絶えぬ雫が　白い結晶を育て\n\n    谷の静けさに　光を集める,"Endless droplets nurtured white crystals,\ngathering light within the valley's stillness."
smash,岩は静かに\n\n    砕けた姿を残し\n\n    森の沈黙だけが\n\n    長い時を語っていた,"The rock remained in its shattered form,\nand only the forest's silence\nspoke of the long years that had passed."
sand,砂時計の中で　一粒ずつ\n\n    静かに落ちる砂が　時を数えている,"Inside the hourglass, one grain at a time,\nquietly falling sand counted the passing hours."
jealousy,朝の光は　あの花ばかり照らし\n\n    隣の枝は　黙って揺れていた,"The morning light shone only upon that one flower,\nwhile the neighboring branch swayed in silence."
plane,削られた田に　水が満ち\n\n    朝の光が　まっすぐに伸びてゆく,"The carved rice fields filled slowly with water,\nand the morning light stretched in perfect lines."
ray,森の奥へ　光が降り\n\n    静かな流れに　金を宿していた,"A beam of light descended through the forest,\nleaving gold upon the silent stream."
plump,熟れた実が　枝をたわませ\n\n    陽だまりの重みが　秋を知らせる,"Heavy fruit bent the branches low,\nand the warmth of sunlight announced the autumn season."
utensil,土の器に　湯気が立ち\n\n    手の温もりが　形を残している,"Steam rose gently from the earthen bowl,\nwhile the warmth of hands remained in its shape."
stinking,古い路地裏に　匂いが満ち\n\n    夕暮れの犬が　静かに鼻を寄せた,"An old alley filled with heavy odor,\nas a stray dog quietly leaned in to smell the dusk."
sniff,落ち葉の道を　鼻先で探り\n\n    小さな気配を　風から拾っている,"Along the fallen leaves, a nose searched softly,\ngathering tiny traces carried by the wind."
exquisite,蓮の花びらに　朝露が宿り\n\n    言葉にならぬ美が　水面に揺れていた,"Morning dew rested upon the lotus petals,\nand a beauty beyond words trembled on the water's surface."
government_ministry,積まれた書類を　一枚ずつめくり\n\n    静かな机から　国の道が決まる,"Turning the stacked documents one sheet at a time,\nfrom a quiet desk the nation's path was decided."
thick,深く張る根が　森を支え\n\n    長い年月が　幹に重なってゆく,"Deep roots upheld the ancient forest,\nwhile long years gathered within the trunk."
strange,霧の岩山に　穴が開き\n\n    誰も知らない風が　そこを通り抜ける,"In the misty cliffs, a hollow opened in stone,\nand an unknown wind passed silently through it."
river,山の川が　石を越え\n\n    絶えぬ音だけが　谷に響いていた,"The mountain river crossed over stones,\nits endless voice echoing through the valley."
state,幾つもの流れが　谷を巡り\n\n    広い大地に　人の暮らしを結んでいる,"Many rivers wandered across the plains,\nbinding together the lives of distant people."
follow,流れに従う舟は　静かに進み\n\n    夕陽だけが　水面を照らしていた,"The small boat followed the flowing current,\nwhile only the sunset watched upon the water."
water,水は形なく　橋も空も包み\n\n    朝の光だけが　波紋に遊んでいた,"Formless, water embraced both bridge and sky,\nwhile only the morning light played upon the ripples."
ice,水は動きを止め　透き通る氷となり\n\n    軒の下で　冬を守っていた,"Water stilled its motion, becoming transparent ice,\nguarding winter beneath the eaves."
eternity,一滴の水が　石の鉢に落ち\n\n    広がる波紋だけが　永を語っていた,"A single drop of water fell into the stone basin,\nand only the spreading ripples spoke of eternity."
