slug,jp_verse,en_verse
agreement,夕焼けの道に、\n\n    背中だけが静かに残った。\n\n    語らぬ姿にも、重みがある。,"Along the evening road,\nonly the back remained in silence.\nEven an unspoken form carries weight."
undertake,まだ始まらぬ計画を、\n\n    胸の内で静かに持ち上げる。\n\n    志は、まず目に宿る。,"Before the work begins,\nthe heart quietly lifts the plan.\nResolve first appears in the eyes."
curriculum,積み重ねた日々は、\n\n    古い書物の頁のよう。\n\n    学びは時間の跡となる。,"Layered days resemble\nthe pages of an old text.\nLearning becomes the trace of time."
warrior,剣を持つより前に、\n\n    人は静けさを学ばねばならぬ。\n\n    強さは沈黙にも宿る。,"Before carrying the sword,\none must learn stillness.\nStrength also lives in silence."
levy,集められるものには、\n\n    必ず誰かの重みがある。\n\n    数えられぬ労苦もまた。,"What is gathered\nalways carries another's burden.\nEven unseen labor is counted."
correct,まっすぐな線は、\n\n    迷いを少しずつ削ってゆく。\n\n    正しさは静かな形をしている。,"A straight line\nslowly cuts away confusion.\nCorrectness takes a quiet form."
evidence,言葉よりも深く、\n\n    残された印が真実を語る。\n\n    時は隠しきれない。,"Deeper than words,\nthe remaining mark speaks truth.\nTime cannot conceal everything."
politics,人を導く者は、\n\n    まず己の心を治めよ。\n\n    国は小さな選択から始まる。,"Those who guide others\nmust first govern themselves.\nA nation begins with small choices."
determine,揺れる天秤の前で、\n\n    最後に残るのは静かな決意。\n\n    定めは心に落ち着く。,"Before the wavering scales,\nquiet resolve remains at last.\nDetermination settles in the heart."
lock,閉ざされた扉にも、\n\n    いつか開かれる時が来る。\n\n    鍵は待つことを知っている。,"Even a sealed door\nwill someday open again.\nThe key understands waiting."
run,風を追う足音が、\n\n    乾いた大地に響いてゆく。\n\n    走る者は夜を恐れない。,"Footsteps chasing the wind\necho across the dry earth.\nThe runner does not fear the night."
transcend,境界を越えた先には、\n\n    まだ名のない空が広がる。\n\n    人は時に自分を超える。,"Beyond the boundary\nspreads a sky without a name.\nSometimes a person surpasses himself."
surpass,山を越えるたびに、\n\n    見える景色は変わってゆく。\n\n    越えるとは、変わること。,"Each mountain crossed\nreveals a different landscape.\nTo surpass is to be changed."
just_so,多くを語らずとも、\n\n    ただ「これでよい」と知る瞬間。\n\n    静かな確かさがそこにある。,"Without many words,\nthere comes the moment of ""this is right.""\nA quiet certainty remains there."
topic,一枚の紙の上に、\n\n    まだ始まらぬ問いが置かれる。\n\n    題は思索への扉となる。,"Upon a single page\nrests a question not yet begun.\nThe topic becomes a doorway to thought."
dike,静かな堤は、\n\n    見えぬ水の力を知っている。\n\n    守るものほど語らない。,"The quiet dike\nunderstands the unseen force of water.\nWhat protects speaks the least."
build,石を積み上げるより先に、\n\n    人は未来を思い描く。\n\n    建てるとは願いを形にすること。,"Before laying stone,\none imagines the future.\nTo build is to give shape to hope."
key,小さな鍵ひとつで、\n\n    閉ざされた世界は開かれる。\n\n    答えは意外に静かだ。,"With a single small key,\na closed world opens.\nAnswers are often quiet things."
prolong,砂時計の影が、\n\n    静かに午後を引き延ばしてゆく。\n\n    時は惜しむほど美しい。,"The shadow of the hourglass\nquietly stretches the afternoon.\nTime grows beautiful when cherished."
