slug,jp_verse,en_verse
cavity,古木の洞を　子どもが覗き込む\n\n    見えない深さへ　森の気配が続いていた,"A child peered into the hollow of an ancient tree,\nwhere the unseen depths continued into the forest."
finish,巻物を閉じれば　夕べの光が差し\n\n    終えた一日が　静かに息づいていた,"As the scroll was closed, evening light entered the room,\nand the finished day breathed quietly in silence."
woman,花のそばに立つ　一人の女\n\n    柔らかな風が　袖を揺らしていた,"A woman stood beside the blossoms,\nwhile a gentle breeze softly stirred the sleeves of her kimono."
fond_of,縁側で　猫を抱く人\n\n    言葉より先に　心が微笑んでいた,"Holding a cat upon the veranda, she needed no words;\nher heart had already begun to smile."
likeness,水辺に映る　静かな姿\n\n    揺れる光だけが　本当を知っている,"A quiet figure reflected upon the water,\nwhile only trembling light knew the truth."
mother,眠る命を　腕に抱きながら\n\n    夜の静けさが　部屋を包み込んでいた,"Holding sleeping life within her arms,\nthe silence of night gently filled the room."
pierce,大きな鮪が　市場に吊るされ\n\n    鋭い眼差しが　奥まで貫いていた,"A giant tuna hung in the market,\nwhile sharp eyes seemed to pierce straight through to the depths."
older_brother,兄の真似をして\n\n    弟も石を投げる\n\n    小さな波紋が\n\n    二人を結んでいた,"Imitating his older brother,\nthe younger boy threw a stone as well;\nsmall ripples in the water\nbound the two together."
curse,森の社に　古い狐像\n\n    語り継がれた祈りが　夜気に残っていた,"At the forest shrine, ancient fox guardians watched;\nold prayers lingered quietly in the night air."
overcome,山頂に立ち\n\n    雲の海を見下ろせば\n\n    克えるべき道は\n\n    すでに後ろにあった,"Standing on the summit,\ngazing down upon a sea of clouds,\nthe path that needed to be overcome\nwas already behind him."
small,朝の欄干に　小さな雀が一羽\n\n    静かな光を受けて　世界を見つめていた,"A tiny sparrow rested upon the morning railing,\ngazing out at the world in quiet light."
few,わずかな灯だけが　闇を照らして\n\n    遠い社へと　道を導いていた,"Only a few lights shone within the darkness,\nguiding the way toward the distant shrine."
large,小さな人影と\n\n    大きな杉の幹\n\n    その違いだけで\n\n    大きさが語られる,"Tiny figures beside\nthe great cedar trunk—\nthe difference alone\ntold the story of size."
evening,沈む夕日が\n\n    港を赤く染め\n\n    夕という時だけが\n\n    水面に残っていた,"The setting sun\npainted the harbor red;\nonly evening itself\nremained upon the water."
many,灯籠も人影も　数えきれないほど多く\n\n    夜の寺町は　光に包まれていた,"Lanterns and people alike were too many to count;\nthe temple district at night was wrapped in light."
eventide,波打つ浜辺に　夕焼けが残り\n\n    一日の終わりが　静かに寄せてきた,"The sunset lingered upon the shore,\nand the end of the day quietly approached."
outside,石畳の先に　広い世界が続き\n\n    朝の光が　静かに道を照らしていた,"Beyond the stone path the wide world continued,\nwhile morning light quietly illuminated the way."
name,夕暮れの道に　名を呼ぶ声が流れ\n\n    灯りのともる宿が　静かに迎えていた,"Along the evening road, someone called out a name;\nthe lantern-lit inn quietly welcomed them."
stone,苔むした石が　森の道に立ち\n\n    長い年月を　静かに見守っていた,"A moss-covered stone stood beside the forest path,\nquietly watching over the passing years."
resemblance,窓辺の少年と　古い肖像が\n\n    よく似た横顔で　同じ光を見つめていた,"The boy by the window and the old portrait shared the same profile,\ngazing toward the same light."
