slug,jp_verse,en_verse
craft,静かな工房に　刃物が並び\n\n    職人の息だけが　夜を刻んでいた,"In the silent workshop the tools lay in order,\nwhile only the craftsman's breath measured the night."
left,細い路地に　左への印\n\n    知らない灯りが　奥で揺れていた,"In the narrow alley a sign pointed left,\nand an unfamiliar lantern flickered deeper within."
right,右へ曲がる道に　影が伸び\n\n    古い街並みが　静かに続いていた,"Along the road turning right, shadows stretched,\nand the old town carried on in silence."
possess,両手の中に　小さな光\n\n    持つということは　守ることでもあった,"Within both hands rested a tiny light;\nto possess something was also to protect it."
bribe,静かな部屋で　包みが置かれ\n\n    誰も語らぬまま　話は進んでいた,"In a quiet room a wrapped package was set down,\nwithout a word being spoken, the discussion moved forward."
tribute,捧げられた箱に　金貨が重なり\n\n    人々の敬意が　静かに形となった,"Coins gathered within the offered chest,\nand the people's respect quietly took form."
paragraph,古い書物を　指でなぞりながら\n\n    一つの段落が　時を越えて語りかける,"Tracing the ancient pages with a finger,\na single paragraph spoke across the years."
sword,朝日の中で　刀は眠り\n\n    触れぬ静けさが　部屋を満たしていた,"Within the morning light the sword lay resting,\nand an untouchable stillness filled the room."
blade,細い刃先に　冷たい光\n\n    わずかな動きが　運命を分けてゆく,"Cold light rested upon the blade,\nwhere the slightest movement divided fate."
cut,黒い裂け目が　夜を断ち切り\n\n    一瞬の光が　静寂を貫いていた,"A dark incision split the night apart,\nand a single flash pierced the silence."
seduce,差し出された餌へ　鯉たちが集まり\n\n    静かな水面に　波が広がった,"Toward the offered food the koi gathered,\nacross the quiet surface ripples spread outward."
shining,森の奥へ　光が差し込み\n\n    立つ人の影が　金色に包まれていた,"Light poured deep into the forest,\nand the standing figure was wrapped in gold."
rule,古い法の書に　蝋燭が揺れ\n\n    村人たちは静かに　耳を傾けていた,"Candles flickered beside the ancient law,\nand the villagers sat quietly, listening to its words."
vice,並んで座る二人の間に\n\n    語られぬ力が　静かに流れていた,"Between the two seated figures,\nunspoken power quietly moved."
separate,壁を背にして　互いに離れ\n\n    同じ空気だけが　二人を結んでいた,"Leaning against the wall, they turned apart,\nwhile only the same air connected them."
street,暗い空間に　一本の柱\n\n    名もない道が　そこから始まっていた,"Within the darkness stood a single post,\nand an unnamed street began from there."
town,夕暮れの町に　灯りがともり\n\n    人々の声が　窓辺に溶けてゆく,"Lights awakened throughout the evening town,\nand human voices melted into the windows."
possible,雲の向こうに　光が差し\n\n    まだ名もない未来が　静かに待っていた,"Beyond the clouds a light appeared,\nand an unnamed future waited quietly."
top,山の頂から　朝霧を越えて\n\n    遠い景色が　静かに開いていた,"From the mountain summit, beyond the morning mist,\na distant landscape quietly opened before him."
child,小さな足で　石畳を歩き\n\n    知らない世界が　少しずつ広がった,"With tiny feet she walked the stone road,\nand the unknown world slowly grew wider."
