slug,jp_verse,en_verse
range,小さな境界の中にも、\n\n    人それぞれの世界がある。\n\n    域は静かに形を作る。,"Even within a small boundary,\neach person holds a world.\nA range quietly gives shape."
burglar,夜の静けさを裂いて、\n\n    欲望だけが忍び込む。\n\n    盗まれるのは物だけではない。,"Tearing through the night's silence,\nonly desire slips inside.\nMore than objects can be stolen."
plantation,土に触れる両手は、\n\n    未来を静かに植えている。\n\n    育つものは時を要する。,"Hands touching the soil\nquietly plant the future.\nWhat grows requires time."
load,重みを運ぶ車輪は、\n\n    黙って道を進み続ける。\n\n    責任にも音がある。,"The wheels bearing weight\ncontinue silently down the road.\nResponsibility has its own sound."
overgrown,枝葉は自由に広がり、\n\n    やがて光さえ隠してゆく。\n\n    豊かさは時に深すぎる。,"Branches spread freely\nuntil even light is hidden.\nAbundance can grow too deep."
relatives,古い写真の笑顔には、\n\n    時を越えたぬくもりが残る。\n\n    血縁は静かな記憶。,"In the smiles of old photographs\nremains a warmth beyond time.\nKinship is a quiet memory."
become,小さな芽であっても、\n\n    空へ向かう力を持っている。\n\n    成るとは変わり続けること。,"Even a small sprout\nholds the strength to reach the sky.\nTo become is to keep changing."
castle,高く築かれた壁の内にも、\n\n    人の願いと恐れが住む。\n\n    城は時代の影を映す。,"Within towering walls\nlive both hope and fear.\nA castle reflects its age."
sincerity,飾らぬ言葉ほど、\n\n    人の心に深く届く。\n\n    誠は静かな火である。,"Unadorned words\nreach deepest into the heart.\nSincerity is a quiet flame."
intimidate,猛き声を上げずとも、\n\n    本当の力は伝わってゆく。\n\n    威は沈黙にも宿る。,"Without raising a fierce voice,\ntrue power is still conveyed.\nAuthority lives in silence."
destroy,燃え尽きた後には、\n\n    ただ煙だけが空へ昇る。\n\n    滅びは静かに訪れる。,"After everything burns away,\nonly smoke rises skyward.\nDestruction arrives quietly."
dwindle,砂時計の砂のように、\n\n    気づかぬうちに時は減ってゆく。\n\n    失うこともまた自然。,"Like sand in an hourglass,\ntime diminishes unnoticed.\nLoss too is natural."
disdain,冷たい眼差しは、\n\n    相手より先に自分を曇らせる。\n\n    軽蔑は心を狭くする。,"A cold gaze\ndarkens oneself before another.\nDisdain narrows the heart."
scaffold,未完成の高さへ向かい、\n\n    木組みだけが空に伸びる。\n\n    築く途中にも意味がある。,"Toward unfinished heights,\nthe wooden frame reaches skyward.\nThere is meaning even in becoming."
coin,小さな銭ひとつにも、\n\n    人の働きと願いが宿る。\n\n    価値は形より深い。,"Even a single coin\nholds labor and longing within it.\nValue runs deeper than form."
shallow,浅き水面には、\n\n    空の光がよく映る。\n\n    深さだけが美ではない。,"Upon shallow waters\nthe sky reflects clearly.\nDepth alone is not beauty."
stop,立ち止まることでしか、\n\n    見えぬ景色もある。\n\n    静止は終わりではない。,"Only by stopping\ncan certain landscapes be seen.\nStillness is not the end."
walk,急がぬ足取りほど、\n\n    遠くまで辿り着くことがある。\n\n    歩みは静かな強さ。,"The unhurried step\nsometimes travels the farthest.\nWalking is a quiet strength."
ford,浅瀬を渡る足元に、\n\n    冷たい流れがまとわりつく。\n\n    渡る者だけが向こう岸を見る。,"At the ford beneath one's feet,\ncold currents cling and pull.\nOnly the crossing traveler sees the farther shore."
repeatedly,同じ流れの中で、\n\n    人は何度も手を洗う。\n\n    繰り返しは習慣を作る。,"Within the same flowing stream,\none washes the hands again and again.\nRepetition shapes habit."
