slug,jp_verse,en_verse
ashes,灰の風、燃えた記憶を静かに運ぶ。,Ashen winds carry the memory of fire in silence.
point,闇の中、小さな火だけが世界を照らす。,"In the dark, a single spark defines the world."
illuminate,湖の火は、夜の心まで映していた。,The lakeside fire reflected even the heart of night.
fish,鯉は静かな水の中で光を縫ってゆく。,The carp stitches light through silent water.
fishing,朝霧の川で、人は静かに時を待つ。,"Upon the misty river, men wait quietly for time."
home_village,山の村には、夕暮れの煙が帰ってゆく。,Evening smoke returns gently to the mountain village.
black,黒い海に、一つの灯だけが残っていた。,"Upon the black sea, only one light remained."
black_ink,墨の流れは、夜そのものを書いていた。,The flowing ink seemed to write the night itself.
carp,深い水の底で、古い鯉は夢を見ていた。,"Beneath deep waters, the old carp dreamed."
quantity,穀物の山に、人々の冬が眠っている。,Within the grain rests the sleep of winter.
thousandth,見えぬほど小さなものにも、重さがある。,"Even the smallest unseen thing carries weight."
bury,土の下にも、静かな記憶は残っている。,"Beneath the earth, quiet memories remain."
same,同じ灯を囲み、人は心を近づける。,"Around the same light, hearts draw near."
den,洞の奥には、まだ知らぬ光が眠る。,"Deep within the cavern, unknown light still sleeps."
trunk,胴に刻まれた傷は、生きた時を語る。,The scars upon the body speak of lived years.
yonder,遠くへ叫ぶ声は、山に吸い込まれてゆく。,A cry toward the distance disappears into the mountains.
esteem,小さな火を守る者を、人は敬う。,Those who protect a small flame are honored.
letter,灯の下で、一文字ずつ心が形になる。,"Beneath the lantern, the heart takes shape one letter at a time."
guard,静かな夜ほど、人は守るものを知る。,"In quiet nights, one learns what must be protected."
complete,最後の一筆に、長い旅が閉じられる。,"In the final stroke, a long journey comes to rest."
