slug,jp_verse,en_verse
fall,落ち葉の積もる道を、\n\n    ひとり静かに歩いてゆく。\n\n    失うことも季節の一部。,"Along the path of fallen leaves,\none walks quietly alone.\nLoss too belongs to the seasons."
superfluous,使われぬ物が増えるほど、\n\n    心の中も散らかってゆく。\n\n    余分を捨てると静けさが残る。,"The more unused things gather,\nthe more cluttered the heart becomes.\nRemoving excess leaves behind stillness."
hades,暗き坑道の奥には、\n\n    誰も知らぬ静寂が眠る。\n\n    冥き道は恐れを映す。,"Deep within the dark tunnel\nrests an unknown silence.\nShadowed roads reflect fear."
army,朝焼けの空の下、\n\n    人々は黙って列を進む。\n\n    軍勢にもそれぞれの想いがある。,"Beneath the morning sky,\nthe ranks advance in silence.\nEven armies carry human longing."
radiance,霧の野に差し込む光が、\n\n    静かに世界を満たしてゆく。\n\n    輝きは押しつけない。,"Light pouring across the misted field\nquietly fills the world.\nRadiance does not force itself."
carry,重き荷を引きながらも、\n\n    人は前へ歩き続ける。\n\n    運ぶことは生きること。,"Even while pulling heavy burdens,\npeople continue onward.\nTo carry is part of living."
crown,高き冠の下にも、\n\n    孤独は静かに隠れている。\n\n    栄光には重みがある。,"Even beneath the lofty crown\nloneliness quietly remains.\nGlory carries weight."
dream,朝霧の向こうに浮かぶ夢は、\n\n    掴めそうで遠ざかってゆく。\n\n    夢は心を動かし続ける。,"Dreams drifting beyond the morning mist\nseem close, yet move away.\nDreams keep the heart in motion."
pit,深く掘られた穴の底に、\n\n    人の欲望と努力が眠る。\n\n    掘り進めるほど空は遠い。,"At the bottom of the deep pit\nrest human desire and labor.\nThe deeper one digs, the farther the sky feels."
tall,夕陽を受ける高き楼は、\n\n    静かに空へ近づいている。\n\n    高みには風が集まる。,"The tall pavilion in sunset light\nquietly approaches the sky.\nAt great heights, the winds gather."
receive,差し出された贈り物には、\n\n    言葉にならぬ思いが宿る。\n\n    受け取ることもまた優しさ。,"Within an offered gift\ndwells feeling beyond words.\nReceiving too is kindness."
cram_school,夜遅くまで灯る教室に、\n\n    未来を願う静かな熱がある。\n\n    努力は誰にも見えない場所で育つ。,"Within the classroom lit late at night\nrests a quiet passion for the future.\nEffort grows where few can see it."
ripe,陽を浴びた葡萄の房は、\n\n    静かに甘さを深めてゆく。\n\n    熟れるとは時を受け入れること。,"The sunlit cluster of grapes\nquietly deepens in sweetness.\nTo ripen is to accept time."
pavilion,水面に映る東屋には、\n\n    時を忘れる静けさが宿る。\n\n    風景は心を休ませる。,"Within the pavilion reflected on the water\ndwells a silence beyond time.\nScenery allows the heart to rest."
capital,遠く広がる都の灯は、\n\n    多くの人の夢を照らしている。\n\n    都は時代の中心となる。,"The lights of the distant capital\nshine upon countless dreams.\nA capital becomes the heart of an age."
refreshing,森の奥を流れる水音が、\n\n    熱を静かに洗い流してゆく。\n\n    涼しさは心にも届く。,"The sound of water deep in the forest\nquietly washes away the heat.\nCoolness reaches the heart as well."
scenery,朝日に染まる丘の景色は、\n\n    言葉より深く胸に残る。\n\n    景色は記憶を抱きしめる。,"The sunrise-colored hills\nremain deeper than words.\nScenery embraces memory."
whale,燃える夕空の海を、\n\n    巨大な影が静かに越えてゆく。\n\n    鯨は海の夢のよう。,"Across the burning sunset sea\na giant shadow passes quietly.\nThe whale resembles a dream of the ocean."
cottage,小さな家の窓明かりに、\n\n    帰る場所の安心が宿る。\n\n    安らぎは豪華さを求めない。,"Within the cottage window light\nrests the comfort of return.\nPeace does not seek grandeur."
circumference,巡り続ける道のように、\n\n    人の営みも終わりなく続く。\n\n    円は静かな永遠を語る。,"Like the endlessly circling road,\nhuman life continues without end.\nThe circle speaks of quiet eternity."
