slug,jp_verse,en_verse
rhyme,声は消えても\n\n    余韻は静かに残り\n\n    心を満たす,"Though the sound has faded,\nits resonance lingers quietly,\nfilling the heart."
discriminating,知識を越えて\n\n    静けさの奥にある\n\n    真実を見る,"Beyond mere knowledge,\ntruth is found quietly resting\nwithin stillness."
mirror,映るものより\n\n    曇りなき心こそ\n\n    真を映し出す,"More than reflection,\nan unclouded heart reveals\nwhat is truly real."
boundary,境を越えて\n\n    なお残るものだけが\n\n    本当の絆,"Beyond all boundaries,\nonly what still remains\nwas ever real."
deceased,消えたあとに\n\n    静けさだけが残り\n\n    風が名を呼ぶ,"After all has gone,\nonly silence still remains\nwhile the wind recalls."
blind,見えぬ者ほど\n\n    深く光を求めて\n\n    真実へ行く,"Those without eyesight\noften search more deeply still\nfor what truly shines."
delusion,霞む景色に\n\n    心は幻を追い\n\n    道を見失う,"Within blurred landscapes,\nthe heart chases illusions\nand loses its way."
laid_waste,荒れた野にも\n\n    かつて誰かの祈りが\n\n    風に残る,"Even ruined fields\nstill carry forgotten prayers\nwithin the wind."
ambition,遠い光を\n\n    静かに見つめながら\n\n    夜明けを待つ,"Gazing toward distant light,\nthe heart waits silently\nfor the coming dawn."
direction,迷う時こそ\n\n    静かな心の声が\n\n    道を示す,"When lost in darkness,\nthe quiet voice within\nshows the proper way."
disturb,立ち塞がる\n\n    その壁を越えた先に\n\n    新しい空,"Beyond every wall\nthat rises to obstruct us\nlies another sky."
boy,駆けてゆく背に\n\n    まだ知らぬ未来だけが\n\n    風と揺れる,"Upon the young back,\nan unseen future trembles\nwithin the wind."
perfume,花は散っても\n\n    その香りだけはまだ\n\n    時を越えて,"Though blossoms may fade,\ntheir fragrance continues on\nbeyond passing time."
obese,満たしすぎた\n\n    その重さの奥にある\n\n    静かな孤独,"Beneath excessive weight\nrests a quieter burden\nhidden in silence."
call_on,戸を叩けば\n\n    静かな灯の向こうに\n\n    誰かが待つ,"When knocking softly,\nbeyond the quiet lamplight\nsomeone still awaits."
release,手を放せば\n\n    風は遠く空へと\n\n    心を運ぶ,"Once the hand releases,\nthe wind carries the spirit\ninto distant skies."
violent,激しい雨も\n\n    過ぎれば静けさだけ\n\n    大地に残る,"Even violent storms\nleave only quiet behind\nupon the earth."
undress,古い殻を\n\n    静かに脱ぎ捨てれば\n\n    朝が始まる,"Casting off old shells,\na quieter self awakens\nwith the morning light."
theory,語り合えば\n\n    閉ざされた心にも\n\n    灯がともる,"When words are shared well,\neven guarded hearts begin\nquietly to glow."
pointed,鋭さとは\n\n    傷つける力ではなく\n\n    真を見る目,"True sharpness is not\nthe power merely to wound,\nbut to see clearly."
