slug,jp_verse,en_verse
spring,岩間の泉が　光を抱き\n\n    静かな森へ　歌を流している,"The mountain spring\nholds the morning light—\nsinging softly through the forest."
gland,見えない流れが　命を巡り\n\n    深い内側で　静かに働く,"Invisible currents\nmove quietly through life—\nworking deep within the body."
meadow,谷間を抜ける　細い流れ\n\n    原の光が　朝を開いてゆく,"A narrow stream\nwinds through the meadow plain—\nopening the morning light."
petition,草に膝をつき　空を仰げば\n\n    願いは静かに　風へ溶けてゆく,"Kneeling in the grass,\nthe heart lifts toward the sky—\na prayer dissolves into wind."
swim,揺れる光の　水底を抜け\n\n    身体は静かに　青へ沈んでゆく,"Beneath trembling light\nthe swimmer drifts through blue—\nsilent within the water."
marsh,霧深い沼に　波紋が広がり\n\n    誰かの気配だけが　残っていた,"Across the marsh\nsmall ripples spread through mist—\nonly a lingering presence remains."
open_sea,沖へ向かう波は　果てを知らず\n\n    空の広さだけが　道を示している,"Waves toward the open sea\nknow nothing of endings—\nonly the sky shows the way."
general,風を受ける船が　海を渡り\n\n    世界は広く　境を持たない,"The ship moves onward\nacross the widening sea—\nthe world holds no borders."
creek,木陰の江を　水が走り\n\n    夕の光が　石に揺れていた,"Through the shaded creek\nwater runs over stone—\nevening light trembles softly."
cleanse,激しい流れが　濁りをさらい\n\n    残るものだけが　静けさを得る,"The rushing current\ncarries all impurity away—\nwhat remains becomes still."
soup,湯気立つ椀に　野菜の香り\n\n    寒い夕暮れを　静かに満たす,"Steam rises gently\nfrom the warm bowl of soup—\nfilling the cold evening."
grains_of_sand,指の隙間を　砂が落ち\n\n    時は静かに　形を失う,"Sand slips slowly\nthrough the open hand—\ntime loses its shape."
tide,寄せては返す　朝の潮\n\n    海は静かに　岸辺を磨いている,"The morning tide\nreturns again and again—\npolishing the shore in silence."
source,滝の始まりに　澄んだ水\n\n    すべての流れが　ここから生まれる,"At the waterfall's source\nclear water gathers—\nall rivers begin here."
lively,光あふれる　渓流の音\n\n    命は静かに　森を満たしてゆく,"The lively stream\nfills the forest with sound—\nlife moves through everything."
extinguish,燃える火に　水が注がれ\n\n    赤い熱だけが　夜へ消えてゆく,"Water pours softly\nupon the burning fire—\nthe red heat fades into night."
condition,流れの速さも　光の色も\n\n    その時ごとの　水が決めている,"The rushing stream\nchanges with light and season—\nwater decides its own condition."
large_river,大きな河は　谷を越えて\n\n    遠い海まで　道を続けてゆく,"The great river\ntravels beyond the valleys—\ncontinuing toward the sea."
overnight,静かな入り江に　舟を留め\n\n    月だけが　水面を照らしていた,"The small boat rests\nwithin the quiet harbor—\nmoonlight touches the water."
lake,風の止まった　朝の湖\n\n    山の姿まで　静かに映している,"The morning lake\nholds the mountains in stillness—\nnot even wind disturbs it."
