slug,jp_verse,en_verse
crude,粗い器に　朝の光\n\n    飾らぬものほど　手になじむ,"Morning light rests\nupon the rough bowl—\nthe plainest things fit the hand best."
village,夕暮れの村に　煙が昇り\n\n    小さな窓から　灯りがこぼれる,"Smoke rises softly\nabove the evening village—\nwarm light spills from tiny windows."
mutual,向かい合う手に\n\n    言葉より深い　静けさがある,"Between joined hands\nrests a silence\ndeeper than words."
desk,古い机に　紙をひらけば\n\n    静かな時が　また動き出す,"Opening papers\nupon the old desk—\nquiet time begins moving again."
book,開かれた頁に　午後の光\n\n    遠い誰かの声が　まだ残る,"Afternoon light\nfalls on the open pages—\na distant voice still lingers there."
tag,名もない服に　小さな札\n\n    誰かの記憶だけが　残されている,"A small tag hangs\nfrom the nameless dress—\nonly memory remains attached."
calendar,壁の暦は　静かに減り\n\n    机の紙だけが　積もってゆく,"The wall calendar\nquietly loses days—\nonly the papers continue to gather."
plan,まだ来ぬ未来へ\n\n    小さな約束が　差し出される,"Toward an unseen future\na small promise\nis gently offered."
parch,乾いた大地に　風だけが吹き\n\n    遠い雲さえ　立ち止まらない,"Across the parched earth\nonly the wind continues—\neven the clouds do not remain."
not_yet,細い枝先に　春は眠り\n\n    まだ名もない日を　待っている,"Spring sleeps quietly\nwithin the thin branches—\nwaiting for unnamed days."
extremity,空へ伸びる　細い梢\n\n    終わりの先にも　光は続く,"The narrow treetop\nreaches into the sky—\nlight continues beyond the end."
obscure,白く霞んだ　木々のあいだ\n\n    答えは　まだ姿を見せない,"Between pale trees\nblurred in the distance—\nthe answer still hides itself."
splash,水しぶきだけが　陽を砕き\n\n    夏の声が　一瞬ひらく,"A burst of water\nshatters the sunlight—\nsummer opens for a moment."
flavor,湯気の向こうに　静かな食卓\n\n    懐かしさだけが　先に届く,"Beyond the rising steam\nrests a quiet table—\nmemory arrives before taste."
younger_sister,小さな手を引く　秋の道\n\n    背中に残るのは　やさしい時間,"Along the autumn road\na small hand is held—\ngentle time remains behind them."
vermilion,海に浮かぶ　朱の鳥居\n\n    夕空までも　静かに染まる,"The vermilion gate\nstands upon the water—\neven the evening sky is dyed red."
stocks,切り株の上に　若芽が伸びる\n\n    終わりのあとにも　命は残る,"From the old stump\na green shoot rises—\nlife remains after endings."
young,やわらかな芽が　風に揺れて\n\n    世界は　まだ始まったばかり,"The tender sprout\nsways within the wind—\nthe world has only just begun."
grass,草原を渡る　淡い風\n\n    名もない命が　静かに光る,"A pale breeze crosses\nthe field of grass—\nnameless lives glow quietly."
suffering,強い風に　草は伏しても\n\n    根だけは　土を離れない,"Though the harsh wind\nbends the grass low—\nits roots never leave the earth."
