slug,jp_verse,en_verse
bullying,弱い声を　押しつぶす影\n\n    朝の草だけが　涙を知る,"A shadow crushes\nthe voice of the small—\nonly the morning grass remembers the tears."
tolerant,古い窓から　やわらかな光\n\n    赦しは　静かに部屋を満たす,"Soft light enters\nthrough the old window—\nforgiveness fills the room without sound."
dilute,霧の野に　色はほどけ\n\n    境界だけが　風に残る,"In the misted field\nthe colors dissolve—\nonly faint boundaries remain in the wind."
leaf,若葉ゆれる　淡い空の下\n\n    春は　一枚ずつ始まる,"Young leaves tremble\nbeneath the pale sky—\nspring begins one leaf at a time."
imitation,木陰の絵は　本物に似て\n\n    けれど風までは　描けない,"The painted tree\nresembles the real one—\nbut it cannot capture the wind."
vague,遠い光が　水面ににじみ\n\n    答えは　まだ霧の向こう,"A distant light\nblurs upon the water—\nthe answer still hides beyond the mist."
grave,草に埋もれた　小さな石\n\n    名もなく　夕日に眠る,"A small stone\nburied among the grass—\nsleeping nameless in the evening light."
livelihood,畑を耕す　静かな手\n\n    暮らしは　土の匂いに続く,"Quiet hands till\nthe evening earth—\nlife continues in the scent of soil."
membrane,光を映す　薄い円\n\n    触れれば　世界は消えてしまう,"A fragile circle\nreflects the light—\none touch and the world disappears."
seedling,小さな芽が　土を押し上げ\n\n    未来は　まだ柔らかい,"A tiny sprout\npushes through the soil—\nthe future is still soft."
portent,ひび割れた甲羅に\n\n    見えない時代の　足音が響く,"Within the cracked shell\nechoes the footstep\nof an unseen age."
peach_tree,桃の花咲く　春の道\n\n    風まで　淡く色づいていた,"Along the spring road\npeach blossoms bloom—\neven the wind carries color."
stare,馬は遠くを　見つめたまま\n\n    沈む雲だけが　ゆっくり流れる,"The horse keeps staring\ninto the distance—\nonly the clouds drift slowly by."
dog,黒い犬が　静かに座り\n\n    帰る足音を　待っている,"The black dog sits\nwithout a sound—\nwaiting for familiar footsteps."
status_quo,眠る犬たちの　変わらぬ輪\n\n    時だけが　そっと通り過ぎる,"The circle of resting dogs\nnever seems to change—\nonly time passes quietly through."
silence,言葉を閉じた　黒い犬\n\n    沈黙だけが　隣に座る,"The black dog\nwears its silence gently—\nspeech remains outside the room."
sort_of_thing,火はただ　静かに燃えて\n\n    理由もなく　夜を照らした,"The fire burns\nwithout explanation—\nsimply illuminating the night."
reed,風に揺れる　白い穂先\n\n    秋は　声より先に訪れる,"White reeds sway\nbefore the autumn wind—\nthe season arrives before its voice."
hunt,獣を追う　黒い影\n\n    森はまだ　何も語らない,"A dark hunter\nmoves through the forest—\nthe woods reveal nothing yet."
cat,夕暮れの猫は　まっすぐ座り\n\n    世界を　少しだけ見下ろしていた,"At dusk the cat sits\nperfectly still—\nlooking slightly down upon the world."
