slug,jp_verse,en_verse
north,北風は海を渡り、影だけを残す。,"The north wind crosses the sea, leaving only shadows behind."
back,背を向ける人の袖に、言えぬ思いが宿る。,"In the sleeve of one turning away, unspoken feelings remain."
compare,静かな灯の下で、人は己を量る。,"Beneath quiet lamps, people measure themselves against others."
descendants,古き道を子らが歩き、足音は続いてゆく。,"Children walk the ancient road, and the footsteps continue onward."
everyone,雨の庭に集う影、皆ひとつの灯を見つめる。,"In the rainy garden, every shadow gazes toward the same light."
block_letters,筆は乱れず、心もまた姿を整える。,"The brush does not waver, and the heart too finds its form."
orderliness,石庭の音は争わず、静かに調和している。,"The sounds of the stone garden do not compete, but rest in harmony."
mix,墨は水に溶け、記憶は夜に溶けてゆく。,"Ink dissolves into water, and memories dissolve into night."
thirst,空の柄杓に、冬の息だけが残る。,"In the empty ladle, only winter breath remains."
audience,濡れた石段を登る足に、祈りは宿る。,"Prayer dwells in feet ascending the wet stone steps."
brown,古い木箱の色に、長い年月が沈んでいる。,"In the color of the old wooden chest, long years have settled."
hoarse,声はかすれ、夜だけが続きを歌っている。,"The voice grows hoarse, and only the night continues the song."
kudzu,蔦は石を覆い、忘れられた道を守っている。,"Vines cover the stones, guarding the forgotten path."
delicious,湯気の向こうで、心は静かにほどけてゆく。,"Beyond the rising steam, the heart slowly loosens."
fat,笑う腹には、冬を越える豊かさが宿る。,"Within the laughing belly dwells enough richness to survive the winter."
visit_shrine,灯籠の光に導かれ、人は静かに門をくぐる。,"Guided by lantern light, one quietly passes through the gate."
formal_one,二つ目の印にも、礼は変わらず宿る。,"Even in the second seal, dignity remains unchanged."
every,毎朝の湯気は、同じようで少し違う。,"Each morning's steam seems the same, yet slightly different."
cleverness,気づく人だけが、沈黙の変化を知っている。,"Only the attentive notice the changes hidden in silence."
ume,寒さの奥で、白い梅がそっと開き始める。,"Deep within the cold, the white plum quietly begins to bloom."
