slug,jp_verse,en_verse
urge,追い迫る影の中で、\n\n    人は決断を迫られてゆく。\n\n    急ぐ心は夜を深くする。,"Within pursuing shadows,\none is pressed toward decision.\nA hurried heart deepens the night."
escape,逃げる足音の先にも、\n\n    なお月は静かに照らしている。\n\n    恐れは長く追いかけてくる。,"Even beyond fleeing footsteps,\nthe moon continues shining quietly.\nFear pursues for a long time."
environs,町外れの静かな道に、\n\n    人の暮らしの気配が残る。\n\n    辺境にも物語がある。,"Along the quiet edge of town\nlingers the trace of daily life.\nEven the outskirts hold stories."
patrol,眠らぬ街を歩きながら、\n\n    誰かが静かに秩序を守る。\n\n    巡る足音は夜を支える。,"Walking through the sleepless town,\nsomeone quietly guards the order.\nPatrolling footsteps uphold the night."
car,古びた車輪の向こうに、\n\n    まだ見ぬ景色が待っている。\n\n    旅は回転から始まる。,"Beyond the aging wheels\nawait landscapes yet unseen.\nA journey begins with turning."
take_along,ひとりで進むよりも、\n\n    誰かを連れて歩く方が温かい。\n\n    共に行く道は長く続く。,"Warmer than walking alone\nis carrying someone beside you.\nShared roads continue farther."
rut,同じ轍を繰り返しても、\n\n    心だけは迷い続ける。\n\n    軌跡は過去を映している。,"Even along repeated tracks,\nthe heart continues wandering.\nRuts reflect the past."
transport,小さな車の灯りが、\n\n    人と人を静かに結んでゆく。\n\n    運ばれるのは荷だけではない。,"The small vehicle's lights\nquietly connect one life to another.\nMore than cargo is carried."
metaphor,言葉にならぬ想いほど、\n\n    たとえ話に姿を変える。\n\n    比喩は心の橋である。,"Feelings beyond plain speech\ntransform themselves into metaphor.\nComparison becomes a bridge of the heart."
in_front,前へ進むその一歩に、\n\n    まだ見えぬ未来が眠っている。\n\n    振り返るだけでは届かない。,"Within the step forward\nsleeps an unseen future.\nOne cannot arrive by only looking back."
roast,火を囲む静かな時間に、\n\n    人の距離は少し近づく。\n\n    温もりは炎から広がる。,"Within the quiet time around fire,\npeople draw a little closer.\nWarmth spreads from flame."
each,同じ空の下であっても、\n\n    人はそれぞれ違う夢を見る。\n\n    各々の道がある。,"Even beneath the same sky,\neach person dreams differently.\nEveryone walks a separate road."
status,身分や肩書きよりも、\n\n    人を示すのは振る舞い。\n\n    格は静かな所作に宿る。,"More than title or rank,\nconduct reveals the person.\nTrue status lives in quiet bearing."
graft,差し出された小さな袋が、\n\n    正しき道を曇らせてゆく。\n\n    欲は静かに腐敗を招く。,"The small offered pouch\nslowly clouds the rightful way.\nDesire quietly invites corruption."
abbreviation,長き言葉を縮めても、\n\n    本質だけは残り続ける。\n\n    省略にも知恵がある。,"Even shortened words\nretain their essential meaning.\nThere is wisdom in abbreviation."
guest,遠き旅の疲れを、\n\n    静かな灯りが迎え入れる。\n\n    客人には席が用意される。,"The weariness of distant travel\nis welcomed by gentle light.\nA place is prepared for the guest."
amount,積み重ねられた金貨にも、\n\n    人の願いや労苦が映る。\n\n    数字は人生を語ることがある。,"Even within gathered coins\nare reflected toil and longing.\nNumbers can speak of lives."
summer,まぶしい陽の下では、\n\n    眠気さえ夢のように漂う。\n\n    夏は時をゆるやかにする。,"Beneath the brilliant sun,\neven drowsiness drifts like a dream.\nSummer slows the passage of time."
dispose,手放すことによって、\n\n    新しい場所が静かに生まれる。\n\n    処分もまた選択のひとつ。,"By letting go,\nnew space quietly appears.\nDisposal too is a choice."
clause,細かく記された一条にも、\n\n    人の約束が込められている。\n\n    契約は言葉で築かれる。,"Even within a single clause\nrests the weight of agreement.\nContracts are built from words."
