slug,jp_verse,en_verse
one,木の床に　一つの柿が光り\n\n    障子の午後が　静けさを包む,"A single persimmon glowed upon the wooden floor,\nwhile afternoon light through the shoji held the room in stillness."
two,夜の寺に　二つの灯が浮かび\n\n    やわらかな闇だけが　揺れていた,"Two lanterns drifted above the temple at night,\nwhile only the gentle darkness swayed."
three,黒い台に　三つの柿が並び\n\n    扇のそばで　秋が息づいていた,"Three persimmons rested upon the dark tray,\nand beside the folded fan, autumn quietly breathed."
four,四つの柿が　盆の上に並び\n\n    障子の影が　秋の部屋を包む,"Four persimmons lined up upon the tray,\nwhile maple shadows on the shoji wrapped the autumn room."
five,五つの鯉のぼりが　風に泳ぎ\n\n    川の上だけが　春を映していた,"Five carp streamed in the wind above the river,\nwhile only the water mirrored the spring."
six,六つの茶碗に　湯気が立ち\n\n    静かな席が　人を待っていた,"Steam rose from six tea bowls in a row,\nwhile the quiet seats waited for their guests."
seven,七匹の鯉が　池を泳ぎ\n\n    一匹だけが　月へ向かっていた,"Seven koi glided through the moonlit pond,\nwhile one alone turned toward the moon."
eight,巨木の根で　道が二つに裂け\n\n    旅人だけが　選択を止めていた,"At the roots of the great tree the path split in two,\nand the traveler alone paused before the choice."
nine,濡れた橋に\n\n    灯りが続く,"Lights continuing across the wet bridge."
ten,朝の市で　藍の布を畳み\n\n    十の交わりが　布に静かに刻まれた,"At the morning market he folded indigo cloth,\nand the crossing of ten lay quietly woven in the fabric."
mouth,湯気の立つ碗を　両手で包み\n\n    口を開けて　笑いが部屋に溢れた,"Holding the steaming bowl in both hands,\nshe opened her mouth and laughter filled the room."
sun,棚田に　朝日が降り注ぎ\n\n    水面だけが　黄金に燃えていた,"Morning sun poured across the terraced fields,\nwhile only the water burned with gold."
moon,船上で網を直す漁師に\n\n    月明かりだけが　静かに寄り添った,"A fisherman mended his net upon the boat,\nwhile moonlight alone quietly kept him company."
field,方眼の田が　朝日を映し\n\n    霧の谷だけが　静かに包んでいた,"The grid of paddies mirrored the morning sun,\nwhile only the misty valley quietly held them."
eye,橋の上で　灯りの流れを見つめ\n\n    少年の目だけが　夜を覚えていた,"Upon the bridge he watched the lanterns drift,\nwhile only the boy's eyes remembered the night."
old,古い杉の幹に\n\n    朝の光が差し\n\n    幾世代もの祈りを\n\n    静かに宿していた,"Morning light touched\nthe trunk of the ancient cedar,\nwhich quietly carried\nthe prayers of generations."
i,鏡の前に　静かに立ち\n\n    言葉なくして　我だけが在った,"He stood quietly before the mirror,\nand without words, only himself remained."
risk,雪の嶺で　伸ばした手を握り\n\n    見えぬ一歩が　二人を結んでいた,"Upon the snowy ridge they clasped reaching hands,\nand one unseen step bound them together."
companion,雪の庭を　向かい合いながら\n\n    火鉢のぬくもりだけが　二人をつないでいた,"Facing each other across the snowy garden,\nonly the warmth of the brazier joined them together."
bright,炉の火が　二人の顔を照らし\n\n    明るい笑いだけが　部屋に残った,"The hearth fire lit their faces with warmth,\nand only their bright laughter lingered in the room."
