slug,jp_verse,en_verse
prosperous,湖面に　二つの日が静かに並び\n\n    霧の谷だけが　光を留めていた,"Two suns rested quietly upon the lake,\nwhile only the misty valley held their light."
chant,夕暮れの鐘楼に　釣り鐘が吊る\n\n    静かな光だけが　声を包んでいた,"In the belfry at dusk the temple bell hung still,\nwhile only the quiet light wrapped around its voice."
sparkle,三つの水晶が　机の上に置かれ\n\n    棱の光だけが　森へ溢れていた,"Three crystals rested upon the wooden table,\nwhile only their faceted light spilled toward the forest."
goods,三つの碗が　重ねて置かれ\n\n    障子の光だけが　金を温めていた,"Three bowls were stacked upon the table,\nwhile only the shoji light warmed their metal."
spine,二つの碗が　空中に並び\n\n    縦の隙間だけが　姿を支えていた,"Two bowls aligned in midair one above the other,\nwhile only the vertical gap between them held their form."
early,朝の平原に　一本の柱が立ち\n\n    水の十字だけが　一日を告げていた,"Upon the morning plain a single post stood tall,\nwhile only the cross of water heralded the day."
rising_sun,山の端から　朝日が顔を出し\n\n    池の柱だけが　影を留めていた,"From behind the mountain's edge the sun appeared,\nwhile only the post in the pond kept its shadow."
generation,幾世代も　同じ湖を照らし\n\n    黄金の霧だけが　岸を包んでいた,"For countless generations the same lake was lit,\nwhile only the golden mist wrapped the shoreline."
stomach,静かな部屋に　碗から光が溢れ\n\n    夕の山だけが　窓の外に続いた,"In the quiet room light overflowed from the bowl,\nwhile only the evening mountains continued beyond the window."
dawn,水平線から　朝日が顔を出し\n\n    空の余白だけが　光を迎えていた,"From the horizon the morning sun showed its face,\nwhile only the open sky welcomed the light."
gallbladder,碗の上に　一滴が静止し\n\n    黄金の光だけが　部屋を満たしていた,"Above the bowl a single drop hung motionless,\nwhile only its golden light filled the room."
span,夕の谷底に　川が大きく曲がり\n\n    光の帯だけが　山を越えて続いた,"Through the evening valley the river curved wide,\nwhile only the band of light continued across the mountains."
concave,三日月の碗が　机の上で光り\n\n    窓の夕景だけが　窪みを映していた,"The crescent bowl glowed upon the wooden table,\nwhile only the sunset through the window mirrored its hollow."
convex,舟形の碗が　机の上で膨らみ\n\n    内側の光だけが　影を押し上げた,"The boat-shaped bowl swelled upon the table,\nwhile only the light within pushed the shadow upward."
olden_times,古い窓辺に　夕日が差し込み\n\n    削れた壁だけが　年月を留めていた,"Sunset light streamed through the aged window,\nwhile only the worn walls kept the passing years."
oneself,窓辺の台に　光る球が置かれ\n\n    一人の静けさだけが　部屋に在った,"Upon the ledge by the window a glowing sphere rested,\nand only a solitary stillness remained in the room."
white,白い花束が　窓辺に置かれ\n\n    夕焼けだけが　花びらを染めていた,"A bouquet of white flowers rested by the window,\nwhile only the sunset stained the petals."
hundred,折り紙の鶴が　木の盆に溢れ\n\n    夕光だけが　百の翼を照らした,"Origami cranes overflowed the wooden tray,\nwhile only the evening light lit a hundred wings."
middle,光る球の　中央を光が貫き\n\n    縦の筋だけが　静けさを留めていた,"Light passed through the center of the glowing sphere,\nwhile only a vertical line held the stillness."
thousand,廊下の天井に　千の鶴が吊る\n\n    尽きぬ光だけが　奥へ続いていた,"From the corridor ceiling a thousand cranes hung down,\nwhile only the endless light continued toward the back."
