slug,jp_verse,en_verse
fathom,沈む錘が　青へ消えて\n\n    海は静かに　深さを隠す,"The sounding weight\nvanishes into blue—\nthe sea quietly hides its depth."
soil,掌の土に　小さな芽\n\n    春はいつでも　ここから始まる,"Within the soil\nresting in open hands—\nspring always begins here."
spit,冷たい夜へ　白い息\n\n    胸の奥まで　冬が満ちてゆく,"White breath escapes\ninto the frozen night—\nwinter fills the chest within."
pressure,重い石の下で\n\n    岩は黙って裂けていた,"Beneath the weight of stone,\nthe rock split in silence."
cape,海へ突き出す　細い岬\n\n    夕陽だけが　道を照らしている,"The narrow cape\nreaches into the sea—\nonly sunset lights the way."
hedge,朝の垣根に　光が落ち\n\n    小道は静かに　庭へ続いている,"Morning light falls\nupon the hedge-lined path—\nthe garden waits beyond."
inlay,裂けた線を\n\n    金が埋めてひとつになる,"Gold fills the broken line,\nand it becomes one again."
jade,礼を待つ　青き圭\n\n    朝の光に　心を映す,"The jade tablet waits\nfor the coming ceremony—\nmorning light reflects the heart."
seal,封じた文を　静かに託し\n\n    朝の光が　道を照らしていた,"The sealed letter\nis quietly entrusted—\nmorning light shows the way."
horizon,波の果てまで　光が伸び\n\n    空と海との　境が消える,"Light stretches outward\nto the edge of the waves—\nsea and sky become one."
temple,石畳の先に　古い寺\n\n    夕の鐘だけが　森に響いた,"Beyond the stone path\nstands the ancient temple—\nonly the evening bell resounds."
time,古い時計の　針は進み\n\n    誰も戻れぬ　今日を刻んでゆく,"The old clock hands\ncontinue moving onward—\ncarving a day none can return to."
level,均された土に　風が渡り\n\n    静かな畑が　空を映している,"Across the leveled earth\nthe quiet wind passes—\nthe field reflects the sky."
fire,暗い夜の中で　火は揺れて\n\n    人の心に　輪をつくる,"Within the dark night\nthe fire flickers softly—\ngathering hearts together."
inflammation,熱は静かに　身をめぐり\n\n    胸の奥まで　火照りが届く,"Heat moves quietly\nthrough every part of the body—\nwarmth reaches the heart."
anxiety,月は高く\n\n    眠れぬ夜だけが過ぎてゆく,"The moon hangs high,\nand only the sleepless night passes by."
faint,消えかけた火に　水が落ち\n\n    淡い煙だけが　空へ昇った,"Water falls softly\nupon the dying fire—\nonly pale smoke rises."
lamp,小さな灯火が　夜を支え\n\n    帰る道だけを　静かに照らす,"The small lantern\nholds back the heavy night—\nlighting only the way home."
farm,朝霧の畑に　白い湯気\n\n    土は静かに　季節を育てる,"Steam drifts upward\nfrom the morning fields—\nthe earth quietly raises the seasons."
disaster,燃える川辺に　黒煙が立ち\n\n    人は小さく　空を見上げる,"Dark smoke rises\nabove the burning flood—\npeople stand small beneath the sky."
