slug,jp_verse,en_verse
week,繰り返す七日間の中で、\n\n    人は少しずつ変わってゆく。\n\n    時は静かに巡る。,"Within the turning seven days,\npeople slowly change.\nTime circles quietly onward."
gentleman,静かな背筋の中に、\n\n    誠実さは自然に現れる。\n\n    品位は声を荒げない。,"Within quiet posture,\nsincerity reveals itself naturally.\nDignity does not raise its voice."
good_luck,小さな願い札にも、\n\n    人の希望が結ばれている。\n\n    幸運は祈りに似ている。,"Even upon a small fortune slip\nhuman hope is tied gently there.\nGood luck resembles prayer."
robust,大地を踏みしめる姿に、\n\n    揺るがぬ力が宿る。\n\n    強さとは静かな安定。,"In the stance upon the earth\ndwells unwavering strength.\nTrue power is steady and quiet."
villa,木々に囲まれた家には、\n\n    時を忘れる静けさがある。\n\n    豊かさは騒がしくない。,"Within the house among trees\nrests a silence beyond time.\nTrue richness is not loud."
sell,灯りの下に並ぶ品々は、\n\n    人の暮らしを支えている。\n\n    商いには物語がある。,"Goods beneath warm lights\nquietly sustain daily life.\nCommerce carries stories within it."
study,積み重ねた頁の中で、\n\n    人は新しい自分を見つける。\n\n    学びは終わりを持たない。,"Within accumulated pages,\none discovers a newer self.\nLearning has no final end."
memorize,繰り返し書いた文字は、\n\n    やがて心の奥へ残る。\n\n    記憶は静かに根を張る。,"Characters written again and again\nremain deep within the heart.\nMemory quietly takes root."
flourish,花咲く通りの光景には、\n\n    人々の営みが映っている。\n\n    栄えは共に育つもの。,"In the blooming street scene\nthe lives of people are reflected.\nProsperity grows together."
write,筆先から生まれる言葉は、\n\n    見えぬ心を形にする。\n\n    書くことは残すこと。,"Words born from the brush\ngive shape to unseen thoughts.\nTo write is to leave something behind."
haven,静かな港の水面には、\n\n    帰る場所の安心が映る。\n\n    津は旅人を迎え入れる。,"Upon the harbor waters\nrests the comfort of return.\nA haven welcomes travelers home."
breed,広い野に吹く風の中、\n\n    命はゆっくり育ってゆく。\n\n    育てることは待つこと。,"Within the wind across open fields,\nlife grows slowly onward.\nTo nurture is to wait patiently."
aggression,燃え上がる空の下では、\n\n    人の怒りもまた広がってゆく。\n\n    攻める心は景色を変える。,"Beneath the burning sky,\nhuman anger spreads as well.\nAggression transforms the landscape."
failure,崩れた道の先にも、\n\n    なお歩み続ける者がいる。\n\n    敗北は終わりではない。,"Even beyond broken roads\nthere are those who continue onward.\nDefeat is not the end."
sheet_of,机に置かれた一枚にも、\n\n    まだ書かれぬ未来が眠る。\n\n    紙は可能性を待っている。,"Within a single waiting page\nsleeps an unwritten future.\nPaper waits for possibility."
happenstance,偶然に見える出会いも、\n\n    後になれば意味を持ち始める。\n\n    縁は静かに結ばれる。,"Encounters seeming accidental\nlater begin to reveal meaning.\nConnections form quietly."
awe,夕暮れの静かな道に、\n\n    自然と頭を垂れる心。\n\n    敬いは恐れではない。,"Along the quiet evening path\nthe heart bows naturally.\nReverence is not fear."
say,ひとつの言葉だけで、\n\n    人を傷つけも癒しもできる。\n\n    言葉には重みがある。,"With only a single word,\none may wound or heal another.\nWords carry weight."
admonish,遠くに見える警鐘は、\n\n    静かな危機を知らせている。\n\n    忠告は愛の形でもある。,"The warning bell in the distance\nsignals a quiet danger.\nAdmonition can also be care."
plot,机上に広げられた図面には、\n\n    まだ見ぬ未来が描かれている。\n\n    計画は思索から始まる。,"Across the plans upon the desk\nan unseen future is sketched.\nA design begins in thought."
