slug,jp_verse,en_verse
display,差し出された一枚の紙に、\n\n    まだ語られていない思いが宿る。\n\n    静かな提示は心を動かす。,"Within the offered sheet of paper\nrests a thought not yet spoken.\nA quiet display stirs the heart."
whole,両手を広げたその姿は、\n\n    欠けることのない完全を示す。\n\n    すべてを抱く者は静かである。,"The figure with open arms\nreveals a wholeness without lack.\nOne who embraces all remains calm."
plug,小さな栓ひとつで、\n\n    流れは止まり、守られる。\n\n    些細なものが境界となる。,"With a single small plug,\nthe flow is halted and protected.\nEven little things become boundaries."
logic,思考は目に見えなくとも、\n\n    筋道は静かに形を結ぶ。\n\n    理は混乱の中に灯る。,"Though thought cannot be seen,\nreason quietly forms its paths.\nLogic shines within confusion."
master,王座に座る者よりも、\n\n    自らを治める者が尊い。\n\n    真の主は静けさを持つ。,"Greater than one upon a throne\nis one who governs himself.\nA true master carries stillness."
pour,湯のみへ注がれる音は、\n\n    小さな時間を温めてゆく。\n\n    注ぐ心にも温度がある。,"The sound of tea being poured\nwarms a small moment in time.\nEven the act of pouring has warmth."
pillar,長い年月を越えても、\n\n    柱は黙って屋根を支える。\n\n    強さとは静かな持続である。,"Even through long ages,\nthe pillar silently supports the roof.\nStrength is quiet endurance."
gold,黄金は光を集めるが、\n\n    人の欲までも映してしまう。\n\n    輝きは心を試す。,"Gold gathers the light,\nyet also reflects human desire.\nBrightness tests the heart."
pig_iron,粗く重い鉄の塊にも、\n\n    未来の形は眠っている。\n\n    未完成にも価値がある。,"Even within rough pig iron\nfuture forms lie sleeping.\nThere is worth in the unfinished."
bowl,空の鉢を前にすると、\n\n    満たされる時を待ちたくなる。\n\n    器は静かな希望である。,"Before an empty bowl,\none waits for the moment of filling.\nA vessel is quiet hope."
copper,赤みを帯びた銅の色は、\n\n    古い時代の記憶を残している。\n\n    金属にも温もりが宿る。,"The reddish hue of copper\nretains memories of ancient times.\nEven metal can hold warmth."
angling,水辺に座る老人は、\n\n    魚よりも時を待っている。\n\n    静寂こそ釣りの友である。,"The old man by the water\nwaits more for time than for fish.\nSilence is the companion of angling."
needle,細い針の先は、\n\n    裂けたものを再び結び合わせる。\n\n    小さな道具は傷を癒す。,"The tip of a slender needle\njoins what has been torn apart.\nSmall tools mend wounds."
inscription,石に刻まれた文字は、\n\n    声を失っても残り続ける。\n\n    記憶は刻まれて生きる。,"Words carved into stone\nremain even after voices fade.\nMemory lives through inscription."
tranquilize,荒れた心に触れる手は、\n\n    静かな薬のように働く。\n\n    安らぎは力より深い。,"A hand touching a troubled heart\nworks like a quiet medicine.\nPeace reaches deeper than force."
road,曲がりくねる道の先にも、\n\n    誰かの暮らしが続いている。\n\n    道は人を結び合わせる。,"Beyond the winding road\nsomeone's life continues on.\nRoads connect human lives."
guidance,灯台の光は遠くても、\n\n    迷う者には十分に見える。\n\n    導きは小さな光でよい。,"Though the lighthouse stands far away,\nits light is enough for the lost.\nGuidance may be only a small light."
crossing,辻に立つたびに、\n\n    人は知らぬ未来を選び取る。\n\n    交差点には物語がある。,"Each time one stands at a crossing,\nan unknown future is chosen.\nCrossroads contain stories."
swift,燕は風を裂くように飛び、\n\n    空の広さを一瞬で越えてゆく。\n\n    速さには自由の影がある。,"The swallow cuts through the wind\nand crosses the wide sky in moments.\nWithin swiftness lives a shadow of freedom."
create,職人の手は木に触れ、\n\n    まだ見えぬ形を呼び起こす。\n\n    創造は静かな対話である。,"The craftsman's hands touch the wood\nand awaken forms not yet seen.\nCreation is a quiet dialogue."
