slug,jp_verse,en_verse
market,夕雨の中で灯りが揺れていた。\n\n    道が光へ変わる場所に声が集まった。,"Lanterns swayed beneath the evening rain.\nVoices gathered where roads became light."
persimmon,秋は静かに枝へ実っていた。\n\n    寒さの中にも甘さが残っていた。,"Autumn rested quietly on the branch.\nEven the cold carried sweetness."
older_sister,姉は褒められずとも前を歩いた。\n\n    幼い者たちはその影を追って帰った。,"She walked ahead without needing praise.\nThe younger ones followed her shadow home."
lungs,冬の空気は静かな硝子のように入ってきた。\n\n    吐く息だけが空に姿を見せた。,"Winter air entered like silent glass.\nBreath became visible beneath the sky."
sash,その帯は布だけを結んでいたのではない。\n\n    記憶までも腰に巻かれていた。,"The cloth held more than fabric together.\nMemory was wrapped around the waist."
stagnate,雨水は壊れた石道に留まっていた。\n\n    動きは行き先を忘れてしまった。,"Rainwater lingered in broken stone paths.\nMovement forgot where it once belonged."
thorn,枝は静かに自らを守っていた。\n\n    美しさと痛みは同じ茎に宿っていた。,"The branch protected itself in silence.\nBeauty and pain shared the same stem."
control,職人は切る前に静かに測った。\n\n    秩序が意志に形を与えた。,"The craftsman measured before he cut.\nOrder gave shape to intention."
made_in,工房の灯りの下で手が働いていた。\n\n    作られた物には忍耐の跡が残っていた。,"Hands worked beneath warm workshop lanterns.\nCreation carried the fingerprints of patience."
revolve,車輪は泥と季節の中を回り続けた。\n\n    進むものはまた戻ってくる。,"The wheel turned through mud and season.\nWhat moved forward also returned."
art,墨は古い紙の上にゆっくり広がった。\n\n    小さな動きの中に心が現れた。,"Ink spread slowly across worn paper.\nThe heart revealed itself through small gestures."
rain,屋根は銀色の霧に消えていった。\n\n    大地は黙って雨を受けていた。,"The rooftops disappeared into silver mist.\nEarth listened without complaint."
cloud,山々は流れる白い息に隠れていった。\n\n    空は漂うことを覚えた。,"Mountains vanished behind drifting white breath.\nThe sky learned to wander."
cloudy_weather,日は暗くなっても闇にはならなかった。\n\n    静けさが村を均等に覆っていた。,"The day dimmed without becoming dark.\nSilence covered the village evenly."
thunder,光は突然地平を裂いた。\n\n    山々さえその声に応えた。,"Light split the horizon without warning.\nEven the mountains answered back."
frost,朝は白い模様を静かに残していた。\n\n    冬が畑にその名を書いた。,"Morning settled in fragile white patterns.\nWinter signed its name upon the field."
winter,木々は空の手を掲げて立っていた。\n\n    静けさそのものが力になっていた。,"The trees stood with empty hands.\nStillness became its own kind of strength."
heaven,嵐の上では光がなお開かれていた。\n\n    空は何一つ求めなかった。,"Above the storm, the light remained open.\nThe sky asked for nothing in return."
bewitched,遠い歌声が霧の森を漂っていた。\n\n    人は知らぬ間に道へ引き込まれる。,"A distant song drifted through the forest mist.\nSome paths are entered without permission."
fertile,雨は黒い土の奥へ染み込んでいった。\n\n    春になると大地はすべてを思い出した。,"Rain disappeared into the dark soil below.\nBy spring, the earth remembered everything."
