slug,jp_verse,en_verse
nativity,柔らかな布に包まれ、\n\n    小さな命が夜へ現れる。,"Wrapped in quiet cloth,\na small life enters the night."
cornerstone,深く埋められた石は、\n\n    見えずとも支え続ける。,"The buried stone below\nsupports what others will become."
bridegroom,祝いの衣の奥に、\n\n    静かな責任が宿る。,"Behind ceremonial robes\nrests the silence of responsibility."
garment,風に揺れる布は、\n\n    人の暮らしを語っている。,"Cloth moving in the wind\nspeaks quietly of human life."
judge,切り分ける手の中に、\n\n    形と決断が生まれる。,"Within the cutting hand\nform and judgment appear together."
attire,人は衣をまとうことで、\n\n    別の顔を世に見せる。,"By putting on garments,\npeople reveal another face to the world."
reverse_side,表には見えぬ糸が、\n\n    静かに全てを支えている。,"Hidden threads beneath the surface\nquietly hold everything together."
demolition,崩れた壁の向こうにも、\n\n    まだ風は流れていた。,"Even beyond broken walls,\nthe wind continued to move."
pathetic,濡れた袖を握りしめ、\n\n    言葉のない夜を歩く。,"Holding a rain-soaked sleeve,\none walks through a wordless night."
far,旗は霞の向こうへ消え、\n\n    道だけが空へ続いていた。,"The banners vanished into mist,\nwhile the road continued toward the sky."
monkey,人の祭りを真似しながら、\n\n    猿は笑いを集めていた。,"Imitating human festivals,\nthe monkey gathered laughter."
first_time,初めての風は冷たく、\n\n    それでも心を開いていた。,"The first wind felt cold,\nyet the heart still opened toward it."
towel,折り重なる布の中に、\n\n    手の温もりが残っている。,"Within folded cloth\nthe warmth of hands still remains."
linen,粗い織り目の向こうに、\n\n    昔の暮らしが眠っている。,"Beyond the rough woven threads\nold lives remain asleep."
sail,静かな帆は風を待ち、\n\n    海はまだ朝を抱いていた。,"The silent sail waited for wind,\nwhile the sea still held the morning."
breadth,広げられた布のように、\n\n    景色は遠くまで続いていた。,"Like cloth stretched open,\nthe landscape extended into distance."
cap,旅人の帽子には、\n\n    長い道の埃が残る。,"Dust from long roads\nremains upon the traveler's hat."
curtain,幕が静かに揺れるたび、\n\n    別の物語が始まっていく。,"Whenever the curtain trembled softly,\nanother story began."
canopy,揺れる幌の下で、\n\n    旅人たちは夜を越えた。,"Beneath the moving canopy,\ntravelers passed through the night."
brocade,金糸の光の中で、\n\n    文明は静かに輝いていた。,"Within the glow of golden thread,\ncivilization shimmered quietly."
