slug,jp_verse,en_verse
post_a_bill,白い紙を　壁へ押し当て\n\n    誰かの言葉が　街に貼られてゆく,"A blank sheet was pressed against the wall,\nand someone's message became part of the street."
see,遠い影を　目を細めて追えば\n\n    まだ知らぬ世界が　静かに動いていた,"Squinting toward the distant shape,\nan unknown world quietly stirred."
newborn,小さな指が　そっと握り返し\n\n    新しい命が　静かに始まっていた,"Tiny fingers gently grasped in return,\nand a new life quietly began."
beginning,朝焼けの富士を　静かに見つめ\n\n    すべての始まりが　水面に映っていた,"Gazing quietly upon Fuji at dawn,\nthe beginning of all things reflected on the water."
page,古い屋根裏で　本を開けば\n\n    一枚の頁が　時を呼び覚ましていた,"Opening the book in the old attic,\na single page awakened forgotten time."
stubborn,腕を組んだ小さな顔に\n\n    譲らぬ気持ちが　静かに燃えていた,"Within the child's folded arms,\nan unyielding spirit quietly burned."
mediocre,積み上がる書類の向こうで\n\n    疲れた視線が　灯りに沈んでいた,"Beyond the towering papers,\nweary eyes sank beneath the office lights."
defeat,うつむいた肩に　汗が落ち\n\n    敗北の静けさが　体育館を満たしていた,"Sweat fell from lowered shoulders,\nand the silence of defeat filled the gymnasium."
ten_thousand,小さな袋を　何度も数えながら\n\n    長い年月の重みが　手に残っていた,"Counting the little pouch again and again,\nthe weight of long years remained in her hands."
phrase,静かな壇上で　一つの言葉が放たれ\n\n    短い句が　人々の胸へ落ちてゆく,"Upon the quiet stage a single phrase was spoken,\nand its brief words settled into many hearts."
texture,柔らかな布に　そっと触れれば\n\n    目には見えぬ温もりが　指先に残った,"Touching the gentle fabric softly,\nan unseen warmth lingered on the fingertips."
ten_days,机の上の暦を　めくりながら\n\n    過ぎてゆく日々が　静かに積もっていた,"Turning the calendar upon the desk,\nthe passing days quietly gathered."
ladle,紫の鍋から　湯気が立ちのぼり\n\n    怪しい光が　静かに揺れていた,"Steam rose from the purple cauldron,\nwhile strange light flickered in silence."
bulls_eye,弓を引く音の向こうで\n\n    一点の静寂だけが　的を見つめていた,"Beyond the sound of the drawn bow,\nonly a single point of silence watched the target."
neck,巻かれたマフラーのぬくもりに\n\n    言葉より深い想いが　そっと触れていた,"Within the warmth of the scarf around her neck,\nfeelings deeper than words quietly touched her."
hook,小さな鉤に　鞄が揺れ\n\n    帰りを待つ部屋が　静かに息づいていた,"A bag swayed from the little hook,\nand the waiting room quietly breathed."
riot,燃える街角に　怒号が響き\n\n    秩序の光が　夜へ崩れていった,"Shouts echoed through the burning streets,\nas the light of order collapsed into night."
straightaway,闇の奥へ　一本の光\n\n    迷いのない道が　静かに続いていた,"A single beam stretched into the darkness,\nand the unwavering path continued in silence."
tool,黒い机に　道具が並び\n\n    使い込まれた手の記憶が　そこに残っていた,"Tools lay arranged upon the dark table,\nholding the memory of well-worn hands."
true,深い闇の中心に　小さな光\n\n    真実だけが　静かに燃えていた,"At the center of deep darkness shone a tiny light,\nand only truth continued to burn quietly."
