slug,jp_verse,en_verse
elucidate,複雑に見える言葉も、\n\n    静かに紐解けば道となる。\n\n    理解は急がぬ方が深い。,"Even tangled words\nbecome a path when patiently untied.\nUnderstanding deepens slowly."
prison,鉄の格子よりも重いのは、\n\n    閉ざされた心の闇。\n\n    自由は内側にもある。,"Heavier than iron bars\nis the darkness within the heart.\nFreedom also lives inside."
revise,誤りを直すたび、\n\n    言葉は少しずつ澄んでゆく。\n\n    訂正は成長の跡。,"With every correction,\nwords become a little clearer.\nRevision is the trace of growth."
obituary,静かな筆の動きが、\n\n    ひとつの人生を閉じてゆく。\n\n    別れは紙の上にも宿る。,"The quiet movement of the brush\nbrings a life to its close.\nFarewell can dwell upon paper."
chastise,厳しい言葉の奥にも、\n\n    正そうとする願いがある。\n\n    叱責は痛みを伴う。,"Even harsh words\nmay hide a wish to correct.\nRebuke carries pain."
instruction,教えとは命令ではなく、\n\n    歩みを照らす灯火。\n\n    学びは受け継がれてゆく。,"Instruction is not command,\nbut a lamp along the path.\nLearning is handed onward."
imperial_edict,高く掲げられた言葉は、\n\n    人々の暮らしを動かしてゆく。\n\n    命は時代を映す。,"Words raised before the people\nset entire lives in motion.\nAn edict reflects its age."
packed,狭き場所に集められ、\n\n    思いも荷物も重なってゆく。\n\n    満ちることにも苦しさがある。,"Gathered into narrow space,\nboth burdens and thoughts pile high.\nEven fullness can become heavy."
talk,向かい合う声の中に、\n\n    人は少しずつ心を開く。\n\n    会話は橋となる。,"Within exchanged voices,\npeople slowly open their hearts.\nConversation becomes a bridge."
recitation,声に乗せられた言葉は、\n\n    風のように人へ届く。\n\n    詠むことで記憶は残る。,"Words carried upon the voice\nreach others like the wind.\nThrough recitation, memory remains."
poem,短き言葉の中にも、\n\n    世界を映す静かな光。\n\n    詩は沈黙を語る。,"Even within few words\nrests a quiet light of worlds.\nPoetry speaks through silence."
language,異なる言葉であっても、\n\n    人は同じ空を見上げている。\n\n    語りは心を結ぶ。,"Though languages differ,\npeople still look toward the same sky.\nSpeech binds hearts together."
read,頁をめくるたびに、\n\n    知らぬ世界が開かれてゆく。\n\n    読むことは旅に似ている。,"With every turning page,\nan unknown world unfolds.\nReading resembles a journey."
tune,少しずつ音を合わせ、\n\n    乱れた響きは整えられる。\n\n    調和は耳から始まる。,"Little by little the tones align,\nand discord softens into order.\nHarmony begins in listening."
discuss,語り合う時間の中で、\n\n    考えは形を得てゆく。\n\n    議論は孤独を減らす。,"Within shared conversation,\nthoughts gradually take form.\nDiscussion lessens solitude."
consent,差し出された手を、\n\n    静かに受け入れる瞬間。\n\n    承諾は信頼の形。,"The moment a reaching hand\nis quietly accepted—\nconsent becomes trust made visible."
rebuke,怒りではなく、\n\n    理解を願う言葉が胸に残る。\n\n    諭しは導きでもある。,"Not anger,\nbut words hoping for understanding remain.\nAdmonition can also guide."
style,同じ筆を使っても、\n\n    人それぞれの形が現れる。\n\n    様式には心が宿る。,"Even with the same brush,\neach person reveals a different form.\nStyle carries the heart within it."
test,静かな教室の中で、\n\n    自分自身と向き合う時。\n\n    試されるのは知識だけではない。,"Within the quiet classroom\ncomes the moment of facing oneself.\nMore than knowledge is tested."
formal_two,古き形の数字には、\n\n    時代を越えた重みが残る。\n\n    書式にも歴史が宿る。,"Within the ancient form of number\nlingers the weight of history.\nEven formal script carries time."
